period,bank,total_volume_mn,approved_pct,bd_pct,td_pct
2025-08,Yes Bank Ltd.,8090.56,99.95,0.00,0.04
2025-08,State Bank of India,2060.53,99.53,0.16,0.31
2025-08,Axis Bank Ltd.,2034.50,99.84,0.16,0.00
2025-08,HDFC Bank Ltd.,1018.91,99.25,0.75,0.01
2025-08,ICICI Bank Ltd.,555.60,99.53,0.24,0.24
2025-08,Bank of Baroda,528.94,99.71,0.26,0.03
2025-08,Airtel Payments Bank Limited,489.64,98.09,1.86,0.05
2025-08,Union Bank of India,475.30,99.34,0.09,0.57
2025-08,Canara Bank,453.65,99.55,0.11,0.34
2025-08,Punjab National Bank,446.99,99.54,0.25,0.21
2025-08,Kotak Mahindra Bank,372.03,98.66,1.16,0.18
2025-08,Federal Bank Ltd.,368.44,99.36,0.20,0.44
2025-08,India Post Payments Bank Limited,295.38,97.82,1.24,0.94
2025-08,Indian Bank,291.64,99.74,0.14,0.12
2025-08,Bank Of India,259.40,95.20,0.73,4.07
2025-08,Indusind Bank Ltd.,202.41,99.61,0.28,0.11
2025-08,Indian Overseas Bank,152.37,98.98,0.34,0.68
2025-08,Unity Small Finance Bank Limited,140.77,99.93,0.00,0.06
2025-08,Central Bank of India,139.58,98.78,0.45,0.77
2025-08,UCO Bank,120.45,99.29,0.34,0.37
2025-08,RBL Bank Ltd.,96.09,99.64,0.05,0.31
2025-08,Fino Payments Bank Ltd.,90.11,97.28,1.44,1.28
2025-08,IDBI Bank Ltd.,85.28,99.24,0.34,0.42
2025-08,Bank of Maharashtra,8448.39,99.72,0.23,0.04
2025-08,Tri O Tech Solutions Private Limited,61.83,98.81,1.19,0.01
2025-08,Karnataka Bank,61.63,99.60,0.24,0.16
2025-08,NSDL Payments Bank Limited,59.43,98.64,0.963,0.40
2025-08,Suryoday Small Finance Bank Limited,55.98,95.93,0.43,3.64
2025-08,One Mobikwik Systems Limited,55.53,99.85,0.00,0.15
2025-08,The Jammu & Kashmir Bank Limited,53.04,99.13,0.40,0.47
2025-08,IDFC Bank Ltd.,52.91,99.05,0.87,0.08
2025-08,Bandhan Bank limited,52.76,99.43,0.44,0.13
2025-08,JIO Payments Bank Ltd,52.59,97.18,0.99,1.83
2025-08,The South Indian Bank Limited,47.86,99.84,0.12,0.05
2025-08,Karur Vysya Bank,45.74,99.29,0.31,0.40
2025-08,Tamilnad Mercantile Bank Limited,37.31,98.56,0.18,1.26
2025-08,AU Small Finance Bank,35.14,97.79,0.48,1.73
2025-08,City Union Bank,31.86,99.39,0.42,0.19
2025-08,Kerala Gramin Bank,29.20,97.99,0.30,1.71
2025-08,Citi Bank,26.55,99.76,0.20,0.04
2025-08,Ujjivan Small Finance Bank Limited,26.46,98.48,0.21,1.31
2025-08,Punjab and Sind Bank,26.13,98.25,0.89,0.86
2025-08,Baroda U.P. Bank,25.04,94.27,0.23,5.50
2025-08,Telangana Grameena Bank,18.32,98.04,0.37,1.58
2025-08,Karnataka Gramin Bank,16.55,98.92,0.25,0.83
2025-08,ESAF Small Finance Bank Ltd,15.98,99.40,0.50,0.10
2025-08,Maharashtra Gramin Bank,15.93,96.71,0.18,3.11
2025-08,Rajasthan Marudhara Gramin Bank,14.83,84.53,1.67,13.80
2025-08,Equitas Small Finance Bank,14.82,97.67,1.98,0.35
2025-08,Andhra Pragathi Grameena Bank,14.55,95.89,1.01,3.10
2025-07,Yes Bank Ltd.,7934.54,99.99,0.01,0.00
2025-07,State Bank of India,1965.84,99.51,0.10,0.39
2025-07,Axis Bank Ltd.,1946.32,99.74,0.25,0.02
2025-07,HDFC Bank Ltd.,992.01,99.48,0.45,0.07
2025-07,ICICI Bank Ltd.,610.63,99.65,0.29,0.06
2025-07,Bank of Baroda,508.22,99.43,0.29,0.28
2025-07,Union Bank of India,459.07,99.76,0.10,0.14
