period,band,mcc,description,volume_mn,value_cr
2025-08,High Transacting Categories,5411,Groceries And Supermarkets,3129.40,68115.89
2025-08,High Transacting Categories,5814,Fast Food Restaurants,1263.07,14542.00
2025-08,High Transacting Categories,5812,Eating Places And Restaurants,1182.83,19432.25
2025-08,High Transacting Categories,4814,"Telecommunication Services, Including Local And Long Distance Calls, Credit Card Calls,Callsthrough Use Of Magnetic Stripe Reading Telephones And Faxes",865.65,21218.15
2025-08,High Transacting Categories,5541,Service Stations (With Or Without Ancillary Services),626.95,34546.82
2025-08,High Transacting Categories,5993,Cigar Shops And Stands,330.07,1946.50
2025-08,High Transacting Categories,5912,Drug Stores And Pharmacies,322.46,12580.60
2025-08,High Transacting Categories,5462,Bakeries,271.22,4092.27
2025-08,High Transacting Categories,5816,Digital Goods: Games,270.70,7441.14
2025-08,High Transacting Categories,5451,Dairies,179.10,4532.91
2025-08,Medium Transacting Categories,4900,"Utilities Electric, Gas, Water And Sanitary",170.91,22368.15
2025-08,Medium Transacting Categories,7322,Debt Collection Agencies,151.49,77007.05
2025-08,Medium Transacting Categories,5921,"Package Shops Beer, Wine And Liquor",149.20,6116.17
2025-08,Medium Transacting Categories,5262,Online Marketplaces,122.60,7821.54
2025-08,Medium Transacting Categories,5441,"Candy, Nut And Confectionery Shops",115.11,2227.20
2025-08,Medium Transacting Categories,9399,Government Services Not Elsewhere Classified,107.75,10589.67
2025-08,Medium Transacting Categories,5422,Freezer And Locker Meat Provisioners,102.15,3207.17
2025-08,Medium Transacting Categories,5691,Mens And Womens Clothing Shops,101.85,11811.01
2025-08,Medium Transacting Categories,5412,Purchase Of Digital Gold,99.77,1183.73
2025-08,Medium Transacting Categories,5732,Electronics Shops,93.34,10208.97
2025-08,All Other Categories,5813,"Drinking Places (Alcoholic Beverages) Bars, Taverns, Night-Clubs, Cocktail Lounges And Discothques",88.17,3413.72
2025-08,All Other Categories,7230,Beauty And Barber Shops,81.72,2316.82
2025-08,All Other Categories,4112,Passenger Railways,80.93,4142.51
2025-08,All Other Categories,7622,Electronics Repair Shops,78.02,2202.89
2025-08,All Other Categories,5137,"Mens, Womens And Childrens Uniforms And Commercial Clothing",75.87,7087.98
2025-08,All Other Categories,5311,Department Stores,69.99,4143.22
