id,date,product,issuer_bank,total_volume,approved_transaction_volume,business_decline_transactions,technical_decline_transactions
0,2021-01-08,NFS,State Bank of India,109.85,83.91,14.68,0.44
1,2021-01-08,NFS,Union Bank Of India,35.1,82.67,15.44,0.93
2,2021-01-08,NFS,Canara Bank,32.95,79.88,16.9,2.4
3,2021-01-08,NFS,Bank Of Baroda,30.98,81.56,16.73,0.7
4,2021-01-08,NFS,Punjab National Bank,29.26,82.62,15.71,0.68
5,2021-01-08,NFS,Indian Bank,25.34,81.85,14.96,2.34
6,2021-01-08,NFS,HDFC Bank,23.26,89.3,9.34,0.2
7,2021-01-08,NFS,Bank Of India,21.38,85.9,12.1,1.01
8,2021-01-08,NFS,ICICI Bank,16.37,89.14,9.02,0.77
9,2021-01-08,NFS,Central Bank of India,14.35,76.99,21.22,0.92
10,2021-01-08,NFS,Axis Bank,14.29,89.03,8.41,1.37
11,2021-01-08,NFS,Indian Overseas Bank,10.92,80.07,15.71,3.36
12,2021-01-08,NFS,UCO Bank,8.74,77.66,16.42,5.07
13,2021-01-08,NFS,Bank of Maharashtra,8.47,80.41,17.55,1.07
14,2021-01-08,NFS,Federal Bank,7.15,89.34,9.08,0.58
15,2021-01-08,NFS,Kotak Mahindra Bank,6.35,84.35,11.29,3.29
16,2021-01-08,NFS,IDBI Bank,5.55,87.51,10.99,0.38
17,2021-01-08,NFS,Indusind Bank,4.95,88.96,9.37,0.74
18,2021-01-08,NFS,Karnataka Bank,4.29,79.43,17.74,1.97
19,2021-01-08,NFS,Karur Vysya Bank,3.94,85.56,13.04,0.5
20,2021-01-08,NFS,IDFC,2.66,89.31,9.16,0.5
21,2021-01-08,NFS,Yes Bank Ltd,2.57,84.76,11.7,2.57
22,2021-01-08,NFS,Ujjivan Small Finance Bank Limited,2.55,80.43,18.09,0.63
23,2021-01-08,NFS,Bandhan Bank limited,2.46,86.23,12.45,0.39
24,2021-01-08,NFS,Paytm Payments Bank Ltd,2.38,83.33,15.1,0.53
25,2021-01-08,NFS,The South Indian Bank,2.36,86.26,11.28,1.52
26,2021-01-08,NFS,Punjab and Sind Bank,2.14,73.18,23.22,2.71
27,2021-01-08,NFS,Department of Post,1.79,75.7,22.71,0.84
28,2021-01-08,NFS,City Union Bank,1.74,82.7,15.26,1.08
29,2021-01-08,NFS,Jammu and Kashmir Bank,1.71,82.12,16.42,0.57
30,2021-01-08,NFS,ESAF Small Finance Bank,1.66,74.82,23.55,0.85
31,2021-01-08,NFS,Fino Payments Bank,1.66,74.99,23.65,0.57
32,2021-01-08,NFS,Tamilnaad Mercantile Bank,1.64,72.38,14.59,12.13
33,2021-01-08,NFS,Andhra Pradesh Grameena Vikas Bank,1.6,68.5,26.93,3.99
34,2021-01-08,NFS,Kerala Gramin Bank,1.52,77.84,17.49,3.97
35,2021-01-08,NFS,Fincare Small Finance Bank Limited,1.41,71.52,27.43,0.35
36,2021-01-08,NFS,Pragathi Krishna Gramin Bank,1.17,73.33,22.34,3.64
37,2021-01-08,NFS,Yes Bank ? Prepaid ? YP2,1.1,66.71,32.32,0.18
38,2021-01-08,NFS,Saraswat Co-operative Bank,0.1,89.63,7.99,1.17
39,2021-01-08,NFS,Maharashtra Gramin Bank,0.99,77.86,17.57,3.57
40,2021-01-08,NFS,Purvanchal Gramin Bank,0.98,82.52,15.94,0.6
41,2021-01-08,NFS,Jana Small Finance Bank Ltd,0.91,64.43,33.68,1.22
42,2021-01-08,NFS,DBS Bank,0.88,80.09,18.18,0.69
43,2021-01-08,NFS,Andhra Pragathi Grameena Bank,0.87,62.43,21.31,15.64
44,2021-01-08,NFS,Citibank,0.8,91.12,7.18,0.38
45,2021-01-08,NFS,Standard Chartered Bank,0.79,90.23,8.07,0.46
46,2021-01-08,NFS,Lakshmi Vilas Bank,0.73,82.1,16.23,0.75
47,2021-01-08,NFS,AU Small Finance Bank,0.71,75.46,23.06,0.47
48,2021-01-08,NFS,RBL Bank Limited,0.66,88.29,10.01,0.63
49,2021-01-08,NFS,Karnataka Vikas Grameena Bank,0.65,67.63,18.88,12.78
50,2021-01-08,AEPS,State Bank of India,74.43,72.85,18.93,4.8
51,2021-01-08,AEPS,Punjab National Bank,25.15,78.53,13.6,4.5
52,2021-01-08,AEPS,Bank of Baroda,22.29,64.15,27.78,5.69
53,2021-01-08,AEPS,Central Bank of India,18.22,83.84,9.67,2.9
54,2021-01-08,AEPS,Union Bank of India,17.11,79.83,12.93,3.94
55,2021-01-08,AEPS,Allahabad Bank,15.18,71.48,14.6,10.69
56,2021-01-08,AEPS,Bank of India,13.66,76.54,16.29,3.48
57,2021-01-08,AEPS,Canara Bank,8.4,79.45,11.04,6.0
58,2021-01-08,AEPS,Baroda Uttar Pradesh Gramin Bank ,6.73,78.49,14.05,4.85
59,2021-01-08,AEPS,Uttar Bihar Grameen Bank ,5.31,79.25,13.42,4.14
60,2021-01-08,AEPS,UCO Bank,5.19,74.5,16.81,5.08
61,2021-01-08,AEPS,India Post Payment Bank,5.15,74.96,17.1,4.74
62,2021-01-08,AEPS,Dakshin Bihar Gramin Bank erstwhile Madhya Bihar Gramin Bank,5.09,80.98,11.7,3.41
63,2021-01-08,AEPS,Baroda Rajasthan Kshetriya Gramin Bank,4.76,77.98,14.63,4.83
64,2021-01-08,AEPS,Indian Bank,4.67,65.07,23.99,7.67
65,2021-01-08,AEPS,Purvanchal Gramin Bank,4.08,66.58,16.34,14.2
66,2021-01-08,AEPS,Indian Overseas Bank,3.9,84.56,8.7,3.17
67,2021-01-08,AEPS,Madhya Pradesh Gramin Bank erstwhile Narmada Jhabua Gramin Bank,3.66,79.53,9.17,7.5
68,2021-01-08,AEPS,Chhattisgarh Rajya Gramin Bank,3.12,73.27,15.79,7.78
69,2021-01-08,AEPS,Prathma UP Gramin Bank erstwhile Sarva UP Gramin Bank ,3.07,80.29,12.57,3.47
70,2021-01-08,AEPS,Bank of Maharashtra,2.84,80.37,12.26,3.41
71,2021-01-08,AEPS,Bangiya Gramin Vikash Bank,2.77,74.46,12.76,10.03
72,2021-01-08,AEPS,Rajasthan Marudhara Gramin Bank,2.48,78.4,13.55,4.5
73,2021-01-08,AEPS,Aryavart Bank erstwhile Gramin Bank of Aryavart,2.4,57.26,33.9,4.82
74,2021-01-08,AEPS,ICICI Bank,2.18,77.43,16.04,3.47
75,2021-01-08,AEPS,Andhra Pradesh Grameena Vikash Bank,2.18,82.71,11.25,3.22
76,2021-01-08,AEPS,Madhyanchal Gramin Bank,1.99,78.15,13.33,4.77
77,2021-01-08,AEPS,Karnataka Gramin Bank erstwhile Pragathi Krishna Gramin Bank,1.77,82.97,10.16,3.42
78,2021-01-08,AEPS,Utkal Gramin Bank,1.77,80.0,11.54,5.41
79,2021-01-08,AEPS,Andhra Pragathi Grameena Bank,1.65,83.14,10.34,3.75
80,2021-01-08,AEPS,Airtel Payment Bank,1.33,71.52,17.53,8.14
81,2021-01-08,AEPS,Baroda Gujarat Gramin Bank,1.29,75.58,15.84,5.81
82,2021-01-08,AEPS,HDFC Bank,1.25,67.79,26.15,3.02
83,2021-01-08,AEPS,Jharkhand Rajya Gramin Bank erstwhile Vananchal Gramin Bank,1.13,72.05,18.81,5.75
84,2021-01-08,AEPS,IDBI Bank,1.1,76.22,17.52,3.03
85,2021-01-08,AEPS,Tripura Gramin Bank,1.06,52.5,11.41,33.49
86,2021-01-08,AEPS,Punjab & Sind Bank,1.05,69.94,16.7,9.8
87,2021-01-08,AEPS,Indusind Bank,0.99,77.4,15.0,4.64
88,2021-01-08,AEPS,Fino Payments Bank,0.93,76.99,17.44,2.9
89,2021-01-08,AEPS,Odisha Gramya Bank ,0.78,79.74,11.61,5.43
90,2021-01-08,AEPS,Telangana Grameena Bank,0.75,83.31,10.26,2.74
91,2021-01-08,AEPS,Sarva Haryana Gramin Bank,0.71,56.25,9.67,30.4
