period,psp,total_volume_mn,approved_pct,declined_pct
2025-08,Axis Bank Ltd.,7903.10,93.60,6.27
2025-08,Yes Bank Ltd.,5841.35,90.97,8.94
2025-08,ICICI Bank Ltd.,3880.13,92.61,7.27
2025-08,HDFC Bank Ltd.,1957.30,94.28,5.64
2025-08,State Bank of India,1433.43,94.47,5.36
2025-08,Tri O Tech Solutions Private Limited,134.92,100.00,0.00
2025-08,BHIM,113.93,95.28,4.54
2025-08,Kotak Mahindra Bank,72.36,100.00,0.00
2025-08,Airtel Payments Bank Limited,22.27,96.30,3.62
2025-08,North East Small Finance Bank Ltd,21.53,96.80,3.14
2025-08,India Post Payments Bank Limited,19.58,100.00,0.00
2025-08,One Mobikwik Systems Limited,18.65,100.00,0.00
2025-08,IDFC Bank Ltd.,18.71,99.81,0.19
2025-08,RBL Bank Ltd.,17.71,98.02,1.91
2025-08,Federal Bank Ltd.,9.54,99.02,0.96
2025-08,Yes Bank Ltd.,10751.55,91.47,8.41
2025-08,Axis Bank Ltd.,3903.49,94.33,5.56
2025-08,ICICI Bank Ltd.,1864.54,93.74,6.13
2025-08,State Bank of India,1467.24,95.02,4.87
2025-08,HDFC Bank Ltd.,1408.32,94.06,5.84
2025-08,Federal Bank Ltd.,288.22,96.95,2.94
2025-08,Airtel Payments Bank Limited,230.49,94.28,5.61
2025-08,Unity Small Finance Bank Limited,145.32,97.01,2.88
2025-08,Indusind Bank Ltd.,139.32,93.52,6.37
2025-08,RBL Bank Ltd.,98.99,91.99,7.86
2025-08,Canara Bank,98.14,97.03,2.88
2025-08,Kotak Mahindra Bank,80.84,95.00,4.89
2025-08,Tri O Tech Solutions Private Limited,64.78,93.98,5.90
2025-08,One Mobikwik Systems Limited,57.36,96.58,3.32
2025-08,Suryoday Small Finance Bank Limited,54.93,91.56,8.31
2025-07,Axis Bank Ltd.,7234.98,93.26,6.61
2025-07,Yes Bank Ltd.,5894.24,90.91,8.98
2025-07,ICICI Bank Ltd.,3697.64,92.29,7.59
2025-07,HDFC Bank Ltd.,2038.72,94.18,5.76
2025-07,State Bank of India,1652.32,94.75,5.05
2025-07,Tri O Tech Solutions Private Limited,124.54,100.00,0.00
2025-07,BHIM,99.55,95.10,4.64
2025-07,Kotak Mahindra Bank,67.13,100.00,0.00
2025-07,Airtel Payments Bank Limited,22.17,96.29,3.63
2025-07,North East Small Finance Bank Ltd,20.49,97.06,2.86
2025-07,IDFC Bank Ltd.,19.28,99.79,0.21
2025-07,India Post Payments Bank Limited,18.16,100.00,0.00
2025-07,RBL Bank Ltd.,17.25,97.83,2.09
2025-07,One Mobikwik Systems Limited,16.68,100.00,0.00
2025-07,Federal Bank Ltd.,8.94,98.87,1.10
2025-07,Yes Bank Ltd.,10547.67,91.22,8.66
2025-07,Axis Bank Ltd.,3700.44,94.14,5.74
2025-07,ICICI Bank Ltd.,1863.07,93.66,6.21
2025-07,HDFC Bank Ltd.,1434.68,93.95,5.93
2025-07,State Bank of India,1434.09,94.89,4.98
2025-07,Federal Bank Ltd.,294.38,96.86,3.02
2025-07,Airtel Payments Bank Limited,211.01,93.30,6.58
2025-07,Indusind Bank Ltd.,118.80,93.01,6.86
2025-07,Unity Small Finance Bank Limited,116.81,96.99,2.90
2025-07,Canara Bank,96.68,96.92,2.97
2025-07,RBL Bank Ltd.,92.99,93.64,6.22
2025-07,Kotak Mahindra Bank,74.50,95.01,4.75
2025-07,Tri O Tech Solutions Private Limited,59.98,93.82,6.06
2025-07,One Mobikwik Systems Limited,55.68,96.58,3.33
2025-07,NSDL Payments Bank Limited,43.15,91.98,7.89
