period,bank,total_volume_mn,approved_pct,bd_pct,td_pct
2025-08,State Bank of India,5368.74,93.66,5.92,0.42
2025-08,HDFC Bank Ltd.,1581.09,95.37,4.63,0.01
2025-08,Bank of Baroda,1369.53,91.44,8.50,0.05
2025-08,Union Bank of India,1233.20,92.23,7.02,0.75
2025-08,Punjab National Bank,1131.31,91.20,8.61,0.19
2025-08,Kotak Mahindra Bank,978.17,92.39,7.47,0.13
2025-08,Canara Bank,970.63,92.73,6.92,0.36
2025-08,Axis Bank Ltd.,902.87,94.96,5.03,0.02
2025-08,ICICI Bank Ltd.,752.78,95.66,3.82,0.52
2025-08,India Post Payments Bank Limited,674.59,87.92,11.15,0.93
2025-08,Indian Bank,653.87,93.05,6.81,0.14
2025-08,Airtel Payments Bank Limited,637.23,85.83,14.05,0.12
2025-08,Bank Of India,605.10,88.96,6.72,4.32
2025-08,Indian Overseas Bank,330.15,92.90,6.47,0.64
2025-08,Central Bank of India,307.77,91.12,7.81,1.08
2025-08,UCO Bank,283.93,91.70,7.93,0.37
2025-08,Federal Bank Ltd.,266.43,93.11,6.30,0.59
2025-08,Fino Payments Bank Ltd.,237.47,86.17,12.42,1.42
2025-08,Bank of Maharashtra,218.97,93.57,6.37,0.06
2025-08,Indusind Bank Ltd.,216.95,90.15,9.59,0.26
2025-08,IDBI Bank Ltd.,206.69,92.78,6.38,0.83
2025-08,Yes Bank Ltd.,177.66,91.49,8.37,0.15
2025-08,Karnataka Bank,142.00,92.82,7.11,0.07
2025-08,Tri O Tech Solutions Private Limited,134.92,100.00,0.00,0.00
2025-08,IDFC Bank Ltd.,120.47,93.64,6.28,0.08
2025-08,The Jammu & Kashmir Bank Limited,99.01,93.01,5.82,1.17
2025-08,Karur Vysya Bank,95.13,92.90,6.51,0.59
2025-08,Bandhan Bank limited,92.44,94.48,5.37,0.15
2025-08,AU Small Finance Bank,79.26,88.14,9.53,2.33
2025-08,The South Indian Bank Limited,76.06,95.03,4.73,0.24
2025-08,JIO Payments Bank Ltd,61.01,84.15,12.30,3.55
2025-08,Punjab and Sind Bank,59.04,90.64,8.50,0.86
2025-08,City Union Bank,57.26,92.59,7.30,0.11
2025-08,Tamilnad Mercantile Bank Limited,55.86,92.16,6.56,1.28
2025-08,Ujjivan Small Finance Bank Limited,54.77,90.46,8.26,1.28
2025-08,Baroda U.P. Bank,53.78,87.67,4.69,7.63
2025-08,NSDL Payments Bank Limited,51.33,85.08,13.62,1.30
2025-08,Kerala Gramin Bank,50.92,90.77,6.54,2.69
2025-08,Telangana Grameena Bank,40.42,88.02,9.51,2.47
2025-08,Maharashtra Gramin Bank,38.08,83.77,13.79,2.44
2025-08,ESAF Small Finance Bank Ltd,34.96,95.92,4.01,0.08
2025-08,Karnataka Gramin Bank,34.89,88.91,9.83,1.26
2025-08,Rajasthan Marudhara Gramin Bank,32.73,85.57,11.74,2.69
2025-08,RBL Bank Ltd.,32.15,92.71,6.73,0.56
2025-08,Andhra Pragathi Grameena Bank,32.07,83.11,13.12,3.77
2025-08,DBS Bank India Limited,31.37,92.08,6.44,1.48
2025-08,Saraswat Co-operative Bank,30.02,94.06,4.57,1.37
2025-08,Equitas Small Finance Bank,29.43,91.02,8.64,0.33
