id,date,num_of_banks_live_on_upi,volume,value
0,2023-01-08,484,10586.02,1576536.56
1,2023-01-07,473,9964.61,1533645.2
2,2023-01-06,458,9335.06,1475464.27
3,2023-01-05,445,9415.19,1489145.5
4,2023-01-04,414,8898.14,1407007.55
5,2023-01-03,399,8685.3,1410443.01
6,2023-01-02,390,7534.76,1235846.62
7,2023-01-01,385,8036.89,1298726.62
8,2022-01-12,382,7829.49,1282055.01
9,2022-01-11,376,7309.45,1190593.39
10,2022-01-10,365,7305.42,1211582.51
11,2022-01-09,358,6780.8,1116438.1
12,2022-01-08,346,6579.63,1072792.68
13,2022-01-07,338,6288.4,1062991.0
14,2022-01-06,330,5862.75,1014384.0
15,2022-01-05,323,5955.2,1041520.0
16,2022-01-04,316,5583.05,983302.27
17,2022-01-03,314,5405.65,960581.66
18,2022-01-02,304,4527.49,826843.0
19,2022-01-01,297,4617.15,831993.11
20,2021-01-12,282,4566.3,826848.22
21,2021-01-11,274,4186.48,768436.11
22,2021-01-10,261,4218.65,771444.98
23,2021-01-09,259,3654.3,654351.81
24,2021-01-08,249,3555.55,639116.95
25,2021-01-07,235,3247.82,606281.14
26,2021-01-06,229,2807.51,547373.17
27,2021-01-05,224,2539.57,490638.65
28,2021-01-04,220,2641.06,493663.68
29,2021-01-03,216,2731.68,504886.44
30,2021-01-02,213,2292.9,425062.76
31,2021-01-01,207,2302.73,431181.89
32,2020-01-12,207,2234.16,416176.21
33,2020-01-11,200,2210.23,390999.15
34,2020-01-10,189,2071.62,386106.74
35,2020-01-09,174,1800.14,329027.66
36,2020-01-08,168,1618.83,298307.61
37,2020-01-07,164,1497.36,290537.86
38,2020-01-06,155,1336.93,261835.0
39,2020-01-05,155,1234.5,218391.6
40,2020-01-04,153,999.57,151140.66
41,2020-01-03,148,1246.84,206462.31
42,2020-01-02,146,1325.69,222516.95
43,2020-01-01,144,1305.02,216242.97
44,2019-01-12,143,1308.4,202520.76
45,2019-01-11,143,1218.77,189229.09
46,2019-01-10,141,1148.36,191359.94
47,2019-01-09,141,955.02,161456.56
48,2019-01-08,141,918.35,154504.89
49,2019-01-07,143,822.29,146386.64
50,2019-01-06,142,754.54,146566.35
51,2019-01-05,143,733.54,152449.29
52,2019-01-04,144,781.79,142034.39
53,2019-01-03,142,799.54,133460.72
54,2019-01-02,139,674.19,106737.12
55,2019-01-01,134,672.75,109932.43
56,2018-01-12,129,620.17,102594.82
57,2018-01-11,128,524.94,82232.21
58,2018-01-10,128,482.36,74978.27
59,2018-01-09,122,405.87,59835.36
60,2018-01-08,114,312.02,54212.26
61,2018-01-08,114,273.75,51843.14
62,2018-01-06,110,246.37,40834.03
63,2018-01-05,101,189.48,33288.51
64,2018-01-04,97,190.08,27021.85
65,2018-01-03,91,178.05,24172.6
66,2018-01-02,86,171.4,19126.2
67,2018-01-01,71,151.83,15571.2
68,2017-01-12,67,145.64,13174.24
69,2017-01-11,61,105.02,9669.33
70,2017-01-10,60,76.96,7057.78
71,2017-01-09,57,30.98,5325.81
72,2017-01-08,55,16.8,4156.62
73,2017-01-07,53,11.63,3411.35
74,2017-01-06,52,10.35,3098.36
75,2017-01-05,49,9.36,2797.07
76,2017-01-04,48,7.2,2271.24
77,2017-01-03,44,6.37,2425.14
78,2017-01-02,44,4.38,1937.71
79,2017-01-01,36,4.46,1696.22
80,2016-01-12,35,1.99,707.93
81,2016-01-11,30,0.29,100.46
82,2016-01-10,26,0.1,48.57
83,2016-01-09,25,0.09,32.64
84,2016-01-08,21,0.09,3.09
85,2016-01-07,21,0.09,0.38
86,2016-01-06,21,0.0,0.0
87,2016-01-05,21,0.0,0.0
88,2016-01-04,21,0.0,0.0
