payment_id,issuer,payment_method,amount_inr,status,error_reason,hour_of_day,day_of_month
pay_northwind_0000,Axis Bank Ltd.,upi,40.43,failed,collect_request_pending,5,2
pay_northwind_0001,Axis Bank Ltd.,upi,5.05,failed,psp_not_registered,5,7
pay_northwind_0002,HDFC Bank Ltd.,upi,536.97,captured,,3,13
pay_northwind_0003,Union Bank of India,upi,196.58,captured,,4,4
pay_northwind_0004,State Bank of India,upi,190.13,captured,,5,5
pay_northwind_0005,Canara Bank,upi,83.9,captured,,5,13
pay_northwind_0006,State Bank of India,netbanking,194.22,captured,,3,7
pay_northwind_0007,State Bank of India,upi,120.21,captured,,15,18
pay_northwind_0008,State Bank of India,upi,990.28,captured,,1,1
pay_northwind_0009,HDFC Bank Ltd.,upi,977.53,captured,,0,26
pay_northwind_0010,ICICI Bank Ltd.,upi,2391.99,captured,,23,25
pay_northwind_0011,State Bank of India,upi,829.56,failed,collect_request_pending,3,19
pay_northwind_0012,State Bank of India,upi,131.93,captured,,0,1
pay_northwind_0013,Fino Payments Bank Ltd.,upi,50.09,captured,,23,26
pay_northwind_0014,Punjab National Bank,upi,557.17,captured,,0,22
pay_northwind_0015,State Bank of India,upi,345.91,captured,,14,26
pay_northwind_0016,UCO Bank,upi,862.02,captured,,17,20
pay_northwind_0017,State Bank of India,upi,448.21,captured,,23,15
pay_northwind_0018,Union Bank of India,upi,694.99,captured,,11,13
pay_northwind_0019,Punjab National Bank,netbanking,398.68,captured,,10,20
pay_northwind_0020,Punjab National Bank,upi,182.34,captured,,12,7
pay_northwind_0021,Canara Bank,upi,72.57,captured,,5,23
pay_northwind_0022,Canara Bank,card,459.56,captured,,1,9
pay_northwind_0023,Punjab National Bank,upi,641.4,failed,transaction_daily_limit_exceeded,13,12
pay_northwind_0024,ICICI Bank Ltd.,upi,875.4,captured,,0,27
pay_northwind_0025,Fino Payments Bank Ltd.,upi,3008.71,captured,,5,18
pay_northwind_0026,State Bank of India,upi,131.09,captured,,3,14
pay_northwind_0027,Airtel Payments Bank Limited,upi,167.76,captured,,1,13
pay_northwind_0028,Axis Bank Ltd.,upi,138.34,captured,,2,20
pay_northwind_0029,HDFC Bank Ltd.,upi,142.89,captured,,18,14
pay_northwind_0030,Indian Overseas Bank,upi,113.02,captured,,5,11
pay_northwind_0031,Canara Bank,upi,22727.01,captured,,22,16
pay_northwind_0032,HDFC Bank Ltd.,upi,209.02,captured,,22,7
pay_northwind_0033,India Post Payments Bank Limited,upi,636.08,captured,,13,5
pay_northwind_0034,Indian Overseas Bank,card,953.06,captured,,12,12
pay_northwind_0035,Indian Bank,upi,874.44,captured,,1,27
pay_northwind_0036,State Bank of India,upi,193.97,captured,,2,15
pay_northwind_0037,UCO Bank,card,489.66,captured,,10,18
pay_northwind_0038,State Bank of India,upi,3492.67,captured,,5,3
pay_northwind_0039,State Bank of India,upi,781.22,captured,,3,19
pay_northwind_0040,ICICI Bank Ltd.,upi,367.86,captured,,7,28
pay_northwind_0041,Union Bank of India,upi,460.23,captured,,1,23
pay_northwind_0042,HDFC Bank Ltd.,upi,471.6,captured,,7,2
pay_northwind_0043,Punjab National Bank,upi,4617.78,failed,live_mode_not_enabled,1,19
pay_northwind_0044,Indian Bank,card,584.16,captured,,23,12
pay_northwind_0045,HDFC Bank Ltd.,upi,135.61,captured,,1,3
pay_northwind_0046,State Bank of India,upi,175.67,captured,,8,28
pay_northwind_0047,State Bank of India,upi,42.44,captured,,4,9
pay_northwind_0048,HDFC Bank Ltd.,upi,110.14,captured,,2,4
pay_northwind_0049,HDFC Bank Ltd.,upi,908.52,captured,,3,3
pay_northwind_0050,State Bank of India,upi,3512.3,captured,,3,4
pay_northwind_0051,Bank of Baroda,upi,892.25,captured,,3,15
pay_northwind_0052,Punjab National Bank,netbanking,431.46,captured,,3,26
pay_northwind_0053,HDFC Bank Ltd.,upi,85.51,captured,,23,27
pay_northwind_0054,Punjab National Bank,upi,2437.31,captured,,2,14
pay_northwind_0055,Canara Bank,upi,361.47,failed,payment_pending,3,17
pay_northwind_0056,HDFC Bank Ltd.,upi,926.68,captured,,23,23
pay_northwind_0057,Airtel Payments Bank Limited,card,2251.96,captured,,4,17
pay_northwind_0058,State Bank of India,upi,898.0,captured,,0,28
pay_northwind_0059,Central Bank of India,upi,399.08,captured,,3,2
pay_northwind_0060,Canara Bank,upi,4622.09,failed,incorrect_otp,4,28
pay_northwind_0061,Punjab National Bank,upi,478.37,captured,,5,6
pay_northwind_0062,Union Bank of India,upi,381.44,captured,,3,23
pay_northwind_0063,Punjab National Bank,upi,152.28,captured,,15,13
pay_northwind_0064,Bank of Baroda,card,245.65,captured,,7,16
pay_northwind_0065,Axis Bank Ltd.,upi,602.84,failed,payment_declined,1,21
pay_northwind_0066,Kotak Mahindra Bank,upi,213.78,captured,,22,1
pay_northwind_0067,State Bank of India,upi,443.12,captured,,0,4
pay_northwind_0068,State Bank of India,upi,621.76,captured,,2,18
pay_northwind_0069,ICICI Bank Ltd.,card,749.03,captured,,1,26
pay_northwind_0070,State Bank of India,upi,3523.34,captured,,19,10
pay_northwind_0071,Bank of Baroda,netbanking,1479.28,failed,pin_attempts_exceeded,2,25
pay_northwind_0072,Central Bank of India,upi,971.34,captured,,14,18
pay_northwind_0073,Bank of Baroda,upi,517.01,failed,incorrect_pin,3,5
pay_northwind_0074,State Bank of India,upi,580.75,captured,,16,3
pay_northwind_0075,State Bank of India,upi,115.53,captured,,5,4
pay_northwind_0076,State Bank of India,upi,187.05,captured,,4,19
pay_northwind_0077,Punjab National Bank,card,852.56,captured,,20,24
pay_northwind_0078,Punjab National Bank,upi,680.33,captured,,2,12
pay_northwind_0079,Indusind Bank Ltd.,card,771.75,failed,invalid_request,10,9
pay_northwind_0080,State Bank of India,netbanking,18.44,captured,,23,22
pay_northwind_0081,State Bank of India,upi,158.59,captured,,4,27
pay_northwind_0082,Airtel Payments Bank Limited,upi,110.6,failed,debit_declined,2,10
pay_northwind_0083,State Bank of India,netbanking,154.07,captured,,23,14
pay_northwind_0084,Indian Overseas Bank,upi,4379.32,captured,,4,1
pay_northwind_0085,Union Bank of India,upi,974.46,captured,,1,11
pay_northwind_0086,State Bank of India,upi,717.75,captured,,4,22
pay_northwind_0087,State Bank of India,upi,1876.59,captured,,4,24
pay_northwind_0088,Punjab National Bank,upi,957.34,captured,,3,5
pay_northwind_0089,Indian Bank,upi,144.73,captured,,4,19
pay_northwind_0090,Indian Bank,card,196.25,captured,,19,13
pay_northwind_0091,State Bank of India,upi,193.65,captured,,3,11
pay_northwind_0092,Kotak Mahindra Bank,upi,360.13,captured,,4,17
pay_northwind_0093,Bank Of India,upi,2957.95,captured,,3,23
pay_northwind_0094,Punjab National Bank,card,482.42,captured,,1,6
pay_northwind_0095,ICICI Bank Ltd.,upi,139.16,captured,,4,12
pay_northwind_0096,State Bank of India,card,4271.81,captured,,5,2
pay_northwind_0097,Indusind Bank Ltd.,upi,937.76,captured,,6,27
pay_northwind_0098,Canara Bank,upi,3716.46,captured,,0,17
pay_northwind_0099,State Bank of India,upi,461.61,failed,payment_pending_approval,2,26
pay_northwind_0100,State Bank of India,netbanking,125.01,captured,,4,16
pay_northwind_0101,State Bank of India,upi,124.04,captured,,2,7
pay_northwind_0102,State Bank of India,upi,179.84,captured,,2,23
pay_northwind_0103,Axis Bank Ltd.,upi,598.66,captured,,23,14
pay_northwind_0104,State Bank of India,upi,966.32,captured,,3,28
pay_northwind_0105,Kotak Mahindra Bank,upi,129.78,captured,,0,1
pay_northwind_0106,India Post Payments Bank Limited,upi,172.7,failed,psp_app_not_supported,0,1
pay_northwind_0107,Union Bank of India,upi,427.11,captured,,3,18
pay_northwind_0108,Axis Bank Ltd.,upi,3157.2,captured,,4,5
pay_northwind_0109,State Bank of India,upi,1228.05,failed,payment_pending_approval,23,3
pay_northwind_0110,State Bank of India,upi,179.19,captured,,4,16
pay_northwind_0111,Indian Overseas Bank,upi,172.31,captured,,23,13
pay_northwind_0112,State Bank of India,upi,855.79,captured,,16,27
pay_northwind_0113,Axis Bank Ltd.,upi,471.43,captured,,0,16
