period,bank,total_volume_mn,approved_pct,bd_pct,td_pct
2023-12,State Bank Of India,3073.18,95.23,4.34,0.43
2023-12,HDFC BANK LTD,1040.77,96.50,3.44,0.06
2023-12,Bank of Baroda,766.81,94.55,4.94,0.51
2023-12,Union Bank of India,745.87,94.86,4.38,0.76
2023-12,Punjab National Bank,607.36,95.25,4.59,0.17
2023-12,Kotak Mahindra Bank,588.94,94.40,5.11,0.49
2023-12,Canara Bank,563.67,94.26,5.38,0.37
2023-12,Axis Bank Ltd.,562.18,96.43,3.57,0.01
2023-12,ICICI Bank,556.61,96.39,3.28,0.33
2023-12,Paytm Payments Bank,410.19,96.37,3.63,0.00
2023-12,Bank of India,384.87,95.78,4.03,0.18
2023-12,Indian Bank,338.76,95.28,4.52,0.20
2023-12,Airtel Payments Bank,320.02,88.41,8.15,3.43
2023-12,India Post Payment Bank,247.32,82.43,11.85,5.72
2023-12,Federal Bank,184.64,95.56,4.34,0.10
2023-12,Central Bank Of India,177.99,86.46,11.95,1.59
2023-12,Indian Overseas Bank,160.68,93.86,4.42,1.72
2023-12,UCO Bank,147.86,94.38,5.06,0.56
2023-12,IDBI Bank Limited,139.37,94.99,3.80,1.21
2023-12,Bank of Maharashtra,133.33,94.32,4.68,1.00
2023-12,INDUSIND BANK,120.30,92.92,6.12,0.97
2023-12,Fino Payments Bank Limited FIP,107.84,90.01,8.54,1.45
2023-12,Yes Bank Ltd,97.36,95.39,4.51,0.10
2023-12,Karnataka Bank,96.35,92.95,5.48,1.57
2023-12,IDFC FIRST Bank,75.11,93.58,6.38,0.04
2023-12,Karur Vysya Bank,58.61,93.73,5.71,0.56
2023-12,South Indian Bank,48.80,96.11,3.82,0.08
2023-12,Jammu and Kashmir Bank,48.75,69.74,25.78,4.48
2023-12,Bandhan Bank,47.39,92.57,6.71,0.72
2023-12,Ujjivan Small Finance Bank,36.67,93.65,5.57,0.78
2023-12,AU small Finance Bank,36.18,94.68,4.30,1.02
2023-12,City Union Bank,34.96,93.56,6.10,0.34
2023-12,Tri O Tech Solutions Private Limited,34.24,100.00,0.00,0.00
2023-12,Punjab and Sind Bank,31.50,89.74,6.25,4.01
2023-12,Tamilnad Mercantile Bank,30.97,94.34,5.15,0.51
2023-12,Equitas Bank,28.13,93.09,6.89,0.02
2023-12,Standard Chartered,27.13,95.82,2.10,2.08
2023-12,Kerala Gramin Bank,25.29,93.63,6.11,0.27
2023-12,DBS Bank India Limited,24.94,95.90,4.08,0.02
