payment_id,issuer,payment_method,amount_inr,status,error_reason,hour_of_day
pay_tinyshop_0000,State Bank of India,upi,635.18,captured,,21
pay_tinyshop_0001,Bank of Maharashtra,upi,488.46,failed,credit_limit_exceeded,20
pay_tinyshop_0002,Airtel Payments Bank Limited,card,36.08,captured,,1
pay_tinyshop_0003,Bank of Baroda,upi,484.96,captured,,19
pay_tinyshop_0004,Axis Bank Ltd.,upi,431.78,captured,,20
pay_tinyshop_0005,Airtel Payments Bank Limited,upi,760.47,captured,,18
pay_tinyshop_0006,HDFC Bank Ltd.,card,297.09,captured,,11
pay_tinyshop_0007,State Bank of India,upi,341.3,captured,,13
pay_tinyshop_0008,Airtel Payments Bank Limited,upi,3.77,captured,,19
pay_tinyshop_0009,ICICI Bank Ltd.,upi,958.24,captured,,10
pay_tinyshop_0010,Kotak Mahindra Bank,upi,49.53,captured,,21
pay_tinyshop_0011,Airtel Payments Bank Limited,upi,545.34,captured,,17
pay_tinyshop_0012,Airtel Payments Bank Limited,upi,866.99,captured,,16
pay_tinyshop_0013,Airtel Payments Bank Limited,upi,1778.9,captured,,18
pay_tinyshop_0014,Bank Of India,netbanking,551.81,captured,,20
pay_tinyshop_0015,Airtel Payments Bank Limited,upi,606.92,captured,,21
pay_tinyshop_0016,Airtel Payments Bank Limited,upi,144.75,captured,,7
pay_tinyshop_0017,Kotak Mahindra Bank,upi,785.58,captured,,3
pay_tinyshop_0018,Kotak Mahindra Bank,upi,2313.69,captured,,18
pay_tinyshop_0019,Airtel Payments Bank Limited,upi,148.74,captured,,8
pay_tinyshop_0020,Canara Bank,upi,852.6,captured,,21
pay_tinyshop_0021,State Bank of India,upi,316.71,captured,,7
pay_tinyshop_0022,Bank Of India,card,2461.91,failed,payment_declined,5
pay_tinyshop_0023,Axis Bank Ltd.,upi,60.66,captured,,21
pay_tinyshop_0024,Airtel Payments Bank Limited,upi,188.48,captured,,22
pay_tinyshop_0025,Bank Of India,card,360.89,captured,,6
pay_tinyshop_0026,Bank Of India,upi,206.67,captured,,10
pay_tinyshop_0027,Bank of Baroda,upi,834.64,captured,,18
pay_tinyshop_0028,Axis Bank Ltd.,upi,488.99,failed,pin_not_set,18
pay_tinyshop_0029,Axis Bank Ltd.,upi,94.05,captured,,16
pay_tinyshop_0030,Airtel Payments Bank Limited,upi,67.15,captured,,18
pay_tinyshop_0031,India Post Payments Bank Limited,upi,801.03,captured,,6
pay_tinyshop_0032,Fino Payments Bank Ltd.,upi,206.23,failed,beneficiary_account_dormant,20
pay_tinyshop_0033,Canara Bank,upi,146.85,captured,,19
pay_tinyshop_0034,State Bank of India,upi,961.05,captured,,13
pay_tinyshop_0035,Punjab National Bank,upi,76.15,captured,,6
pay_tinyshop_0036,Federal Bank Ltd.,upi,790.88,captured,,9
pay_tinyshop_0037,Airtel Payments Bank Limited,upi,115.58,captured,,18
pay_tinyshop_0038,Indian Bank,upi,11.45,captured,,16
pay_tinyshop_0039,State Bank of India,upi,656.28,captured,,8
pay_tinyshop_0040,Fino Payments Bank Ltd.,upi,3223.37,captured,,14
pay_tinyshop_0041,State Bank of India,upi,346.95,captured,,9
pay_tinyshop_0042,State Bank of India,upi,14789.22,captured,,7
pay_tinyshop_0043,Punjab National Bank,upi,770.19,captured,,8
pay_tinyshop_0044,State Bank of India,upi,1432.86,captured,,20
pay_tinyshop_0045,Kotak Mahindra Bank,upi,864.35,failed,pin_attempts_exceeded,15
pay_tinyshop_0046,Central Bank of India,upi,21.28,captured,,8
pay_tinyshop_0047,Airtel Payments Bank Limited,upi,122.02,captured,,6
pay_tinyshop_0048,Airtel Payments Bank Limited,upi,146.28,captured,,7
pay_tinyshop_0049,Indian Bank,upi,353.97,captured,,21
pay_tinyshop_0050,Bank of Maharashtra,upi,87.41,captured,,18
pay_tinyshop_0051,State Bank of India,upi,751.16,captured,,22
pay_tinyshop_0052,Airtel Payments Bank Limited,upi,2057.41,failed,international_transaction_not_allowed,10
pay_tinyshop_0053,Airtel Payments Bank Limited,upi,331.32,captured,,9
pay_tinyshop_0054,Punjab National Bank,upi,3.29,captured,,18
pay_tinyshop_0055,HDFC Bank Ltd.,upi,854.76,captured,,22
pay_tinyshop_0056,Airtel Payments Bank Limited,upi,424.67,captured,,14
pay_tinyshop_0057,Axis Bank Ltd.,upi,288.52,captured,,15
pay_tinyshop_0058,State Bank of India,upi,115.8,captured,,12
pay_tinyshop_0059,HDFC Bank Ltd.,upi,166.83,captured,,10
pay_tinyshop_0060,Airtel Payments Bank Limited,upi,858.32,captured,,15
pay_tinyshop_0061,Airtel Payments Bank Limited,card,394.51,captured,,17
pay_tinyshop_0062,Airtel Payments Bank Limited,card,89.48,captured,,8
pay_tinyshop_0063,ICICI Bank Ltd.,upi,119.9,captured,,12
pay_tinyshop_0064,India Post Payments Bank Limited,upi,411.2,captured,,20
pay_tinyshop_0065,ICICI Bank Ltd.,upi,137.28,captured,,23
pay_tinyshop_0066,State Bank of India,upi,277.48,failed,payment_pending_approval,15
pay_tinyshop_0067,Airtel Payments Bank Limited,upi,255.9,failed,pin_attempts_exceeded,7
pay_tinyshop_0068,State Bank of India,upi,926.28,captured,,15
pay_tinyshop_0069,Fino Payments Bank Ltd.,upi,7.57,captured,,9
pay_tinyshop_0070,Airtel Payments Bank Limited,upi,4080.7,failed,credit_limit_not_approved,6
pay_tinyshop_0071,Canara Bank,card,845.11,captured,,9
pay_tinyshop_0072,Airtel Payments Bank Limited,upi,150.72,captured,,6
pay_tinyshop_0073,State Bank of India,upi,201.36,captured,,16
pay_tinyshop_0074,State Bank of India,upi,1060.04,captured,,18
pay_tinyshop_0075,State Bank of India,upi,487.51,captured,,12
pay_tinyshop_0076,Union Bank of India,upi,508.76,captured,,21
pay_tinyshop_0077,HDFC Bank Ltd.,upi,145.42,captured,,17
pay_tinyshop_0078,Bank of Baroda,upi,916.1,failed,otp_expired,15
pay_tinyshop_0079,Airtel Payments Bank Limited,upi,587.34,captured,,14
pay_tinyshop_0080,Fino Payments Bank Ltd.,upi,650.35,captured,,22
pay_tinyshop_0081,Union Bank of India,card,901.02,captured,,10
pay_tinyshop_0082,Airtel Payments Bank Limited,upi,4312.88,captured,,6
pay_tinyshop_0083,Bank of Baroda,upi,220.59,captured,,12
pay_tinyshop_0084,Airtel Payments Bank Limited,upi,774.6,captured,,1
pay_tinyshop_0085,HDFC Bank Ltd.,upi,267.87,captured,,20
pay_tinyshop_0086,Punjab National Bank,card,19.15,captured,,2
